Medicare Billing Code (HCPCS Code),Drug Description,Brand Name,Generic Name,uses
J7614,"Levalbuterol, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose, 0.5 mg",Levalbuterol HCL*,Levalbuterol HCL*,"Levalbuterol is used to treat wheezing and shortness of breath that commonly occur with lung problems (such as asthma, chronic obstructive pulmonary disease). It is a quick-relief drug. Controlling these symptoms can decrease time lost from work or school. Levalbuterol is a bronchodilator (beta-2 receptor agonist) that works by opening breathing passages to make breathing easier."
J7620,"Albuterol, up to 2.5 mg and ipratropium bromide, up to 0.5 mg, fda-approved final product, non-compounded, administered through dme",Ipratropium-Albuterol,Ipratropium/Albuterol Sulfate,This product is used to treat and prevent symptoms (wheezing and shortness of breath) caused by ongoing lung disease (chronic obstructive pulmonary disease-COPD which includes bronchitis and emphysema). This product contains 2 medications: ipratropium and albuterol (also known as salbutamol). Both drugs work by relaxing the muscles around the airways so that they open up and you can breathe more easily. Controlling symptoms of breathing problems can decrease time lost from work or school.
J7626,"Budesonide, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, up to 0.5 mg",Budesonide*,Budesonide*,"Budesonide is used to control and prevent symptoms (wheezing and shortness of breath) caused by asthma. This medication belongs to a class of drugs known as corticosteroids. It works directly in the lungs to make breathing easier by reducing the irritation and swelling of the airways. This medication must be used regularly to be effective. It does not work right away and should not be used to relieve sudden asthma attacks. If an asthma attack occurs, use your quick-relief inhaler as prescribed."
J7631,"Cromolyn sodium, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per 10 milligrams",Cromolyn Sodium,Cromolyn Sodium,"This medication is used to prevent symptoms (wheezing and shortness of breath) caused by asthma. It is generally used with other medications by patients who have symptoms at least twice weekly (mild persistent asthma). It is also used to prevent wheezing and shortness of breath caused by exercise, cold/dry/polluted air, or allergens such as pollen. Controlling breathing problems may decrease time lost from work or school. If you use this medication you may not need to use other asthma drugs (such as corticosteroids) as often. Cromolyn belongs to a class of medications called mast cell stabilizers. It works by preventing release of certain natural chemicals (such as histamines) that may cause swelling of the airways and breathing problems. This medication must be used regularly to prevent asthma symptoms. It does not work right away and should not be used to relieve sudden asthma attacks. If an asthma attack occurs, use your quick-relief inhaler as prescribed."
J7639,"Dornase alfa, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per milligram",Pulmozyme,Dornase Alfa,"This medication is used to improve breathing and reduce the risk of lung infections in people with cystic fibrosis. It is used along with other treatments for this disease (e.g., chest physical therapy, medications, nutritional supplements). Dornase alfa is the same as a substance (DNase I enzyme) that is naturally produced by the body. It works in the airways by decreasing stickiness/thickness of mucus so that it can be cleared from the lungs more easily."
J7644,"Ipratropium bromide, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per milligram",Ipratropium Bromide,Ipratropium Bromide,"Ipratropium is used to control and prevent symptoms (wheezing and shortness of breath) caused by ongoing lung disease (chronic obstructive pulmonary disease-COPD which includes bronchitis and emphysema). It works by relaxing the muscles around the airways so that they open up and you can breathe more easily. Controlling symptoms of breathing problems can decrease time lost from work or school. For preventing symptoms of lung disease, this medication must be used regularly to be effective. Use your quick-relief inhaler or nebulized solution (such as albuterol, also called salbutamol in some countries) for wheezing or sudden shortness of breath unless otherwise directed by your doctor. Ipratropium does not work as fast as your quick-relief medication, but may sometimes be used together with your quick-relief medication to relieve symptoms of wheezing or sudden shortness of breath if so prescribed by your doctor."
J7674,"Methacholine chloride administered as inhalation solution through a nebulizer, per 1 mg",Provocholine,Methacholine Chloride,Methacholine is used as a test to determine whether you may have asthma. It is a cholinergic drug that causes wheezing and shortness of breath.
J7682,"Tobramycin, inhalation solution, fda-approved final product, non-compounded, unit dose form, administered through dme, per 300 milligrams",Bethkis*,Tobramycin*,"This medication is used to treat people with a certain inherited condition (cystic fibrosis) who have a persistent lung infection with a certain bacteria (Pseudomonas aeruginosa). People with cystic fibrosis produce thick, sticky mucus that can plug up the tubes, ducts and passageways in the lungs. This can result in serious breathing problems and infections in the lungs. Tobramycin belongs to a class of drugs known as aminoglycoside antibiotics. Tobramycin inhalation solution works by stopping the growth of a certain bacteria (Pseudomonas aeruginosa) that commonly infects the lungs of people with cystic fibrosis. This effect decreases lung infections and damage, and helps to improve breathing."
J7686,"Treprostinil, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, 1.74 mg",Tyvaso*,Treprostinil*,This medication is used to treat a type of high blood pressure in the lungs (pulmonary arterial hypertension). Treprostinil helps to increase your ability to exercise and improves symptoms such as shortness of breath and tiredness. It works by relaxing and widening the blood vessels (arteries) in the lungs and other parts of the body so that blood can flow more easily. This medication belongs to a class of drugs known as vasodilators.
J8501,"Aprepitant, oral, 5 mg",Aprepitant*,Aprepitant*,Aprepitant is used with other medications to help prevent nausea and vomiting caused by cancer drug treatment (chemotherapy). This medication is also used to prevent nausea and vomiting after surgery. Aprepitant works by blocking one of the body's natural substances (substance P/neurokinin 1) that causes vomiting. This medication will not treat nausea or vomiting that has already started. Ask your doctor what you should do if you already have nausea or vomiting.
J8510,"Busulfan; oral, 2 mg",Myleran,Busulfan,Busulfan is used to treat chronic myelogenous leukemia (CML). It does not cure the disease but helps to control it so that your quality of life is improved.
J8520,"Capecitabine, oral, 150 mg",Capecitabine (J8520)*,Capecitabine*,"Capecitabine is used to treat breast, colon, or rectal cancer. It works by slowing or stopping the growth of cancer cells."
J8521,"Capecitabine, oral, 500 mg",Capecitabine (J8521)*,Capecitabine*,"Capecitabine is used to treat breast, colon, or rectal cancer. It works by slowing or stopping the growth of cancer cells."
J8530,"Cyclophosphamide; oral, 25 mg",Cyclophosphamide (J8530),Cyclophosphamide,Cyclophosphamide is used to treat various types of cancer. It is a chemotherapy drug that works by slowing or stopping cell growth. Cyclophosphamide also works by decreasing your immune system's response to various diseases. It is used to treat a certain type of kidney disease in children after other treatments have not worked.
J8540,"Dexamethasone, oral, 0.25 mg",Dexamethasone,Dexamethasone,"Dexamethasone is used to treat conditions such as arthritis, blood/hormone/immune system disorders, allergic reactions, certain skin and eye conditions, breathing problems, certain bowel disorders, and certain cancers. It is also used as a test for an adrenal gland disorder (Cushing's syndrome). This medication is a corticosteroid hormone (glucocorticoid). It decreases your body's natural defensive response and reduces symptoms such as swelling and allergic-type reactions."
J8560,"Etoposide; oral, 50 mg",Etoposide,Etoposide,Etoposide is used alone or in combination with other medications to treat certain forms of lung cancer (such as small cell lung cancer). Etoposide works by slowing the growth of cancer cells.
J8600,"Melphalan; oral, 2 mg",Alkeran (J8600),Melphalan,"This medication is used to treat certain types of cancer (such as multiple myeloma, ovarian). Melphalan belongs to a class of drugs known as alkylating agents. It works by slowing or stopping the growth of cancer cells."
J8610,"Methotrexate; oral, 2.5 mg",Methotrexate (J8610)*,Methotrexate Sodium*,Methotrexate is used to treat certain types of cancer or to control severe psoriasis or rheumatoid arthritis that has not responded to other treatments. It may also be used to control juvenile rheumatoid arthritis. Methotrexate belongs to a class of drugs known as antimetabolites. It works by slowing or stopping the growth of cancer cells and suppressing the immune system. Early treatment of rheumatoid arthritis with more aggressive therapy such as methotrexate helps to reduce further joint damage and to preserve joint function.
J8655,Netupitant 300 mg and palonosetron 0.5 mg,Akynzeo,Netupitant/Palonosetron HCL,"This product contains 2 medications: netupitant and palonosetron. It is used to prevent nausea and vomiting caused by cancer drug treatment (chemotherapy). Netupitant and palonosetron work by blocking natural substances in the body (such as substance P/neurokinin 1, serotonin) that cause vomiting."
J8700,"Temozolomide, oral, 5 mg",Temodar (J8700)*,Temozolomide*,This medication is used to treat certain types of brain cancer. Temozolomide belongs to a class of drugs known as alkylating agents. It works by slowing or stopping the growth of cancer cells.
J8705,"Topotecan, oral, 0.25 mg",Hycamtin (J8705),Topotecan HCL,This medication is used to treat small cell lung cancer. It works by killing cancer cells or slowing their growth.
J9000,"Injection, doxorubicin hydrochloride, 10 mg",Adriamycin*,Doxorubicin HCL*,Doxorubicin is an anthracycline type of chemotherapy that is used alone or with other treatments/medications to treat several different types of cancer. Doxorubicin works by slowing or stopping the growth of cancer cells.
J9017,"Injection, arsenic trioxide, 1 mg",Trisenox,Arsenic Trioxide,Arsenic trioxide is used to treat a type of leukemia (acute promyelocytic leukemia-APL).
J9025,"Injection, azacitidine, 1 mg",Azacitidine*,Azacitidine*,"This medication is used to treat a group of blood/bone marrow disorders (myelodysplastic syndromes-MDS) in which the bone marrow does not produce enough healthy blood cells. People with MDS usually have problems such as infections, anemia, and easy bleeding/bruising. Azacitidine is a chemotherapy drug. It is believed to work by helping your bone marrow grow normal blood cells so you will need fewer blood transfusions. Azacitidine also kills abnormal blood cells that have grown too fast and do not work properly."
J9027,"Injection, clofarabine, 1 mg",Clofarabine*,Clofarabine*,Clofarabine is used to treat a certain type of cancer (acute lymphoblastic leukemia-ALL) in children and young adults ages 1 to 21 whose cancer has not been successfully treated by at least 2 other treatments. It works by stopping the growth of cancer cells.
J9031,Bcg (intravesical) per instillation,BCG (Tice Strain) (J9031)*,BCG Live*,This vaccine is used to prevent tuberculosis (TB) in people who have not been infected with the disease but are at a high risk of getting it. This vaccine is not used to treat tuberculosis. This vaccine contains live bacteria that have been weakened. It works by causing the body to produce its own protection (antibodies) against the bacteria that causes tuberculosis. This form of the vaccine is not used to treat or prevent bladder cancer.
J9032,"Injection, belinostat, 10 mg",Beleodaq,Belinostat,Belinostat is used to treat a certain type of cancer: peripheral T-cell lymphoma (PTCL). It is used when other drugs do not work or when the cancer comes back after treatment. Belinostat works by slowing or stopping the growth of cancer cells.
J9033,"Injection, bendamustine hcl (treanda), 1 mg",Treanda,Bendamustine HCL,"This medication is used to treat certain types of cancer (e.g., chronic lymphocytic leukemia-CLL, B-cell non-Hodgkin's lymphoma). Bendamustine belongs to a class of cancer chemotherapy drugs known as alkylating agents. It works by killing cancer cells or slowing their growth."
J9035,"Injection, bevacizumab, 10 mg",Avastin,Bevacizumab,"This medication is a man-made antibody (IgG1) used to treat kidney, cervical, ovarian, colon, and rectal cancer. Bevacizumab is also used to treat lung cancer (non-small cell type), certain types of brain tumors, and cancer found in the fallopian tube or lining of the abdominal wall (peritoneal). This drug works by blocking a certain protein (vascular endothelial growth factor-VEGF) thereby decreasing the blood supply to the tumor and slowing tumor growth."
J9039,"Injection, blinatumomab, 1 microgram",Blincyto,Blinatumomab,This medication is used to treat a certain type of cancer (acute lymphocytic leukemia-ALL). Blinatumomab belongs to a class of drugs known as monoclonal antibodies. It works by slowing or stopping the growth of cancer cells.
J9040,"Injection, bleomycin sulfate, 15 units",Bleo 15k*,Bleomycin Sulfate*,"Bleomycin is used to treat cancer. It works by slowing or stopping the growth of cancer cells. This medication may also be used to control the build-up of fluid around the lungs (pleural effusion) caused by tumors that have spread to the lungs. For this condition, bleomycin is placed in the space around the lungs through a chest tube."
J9041,"Injection, bortezomib, 0.1 mg",Velcade,Bortezomib,"This medication is used to treat certain types of cancer (such as multiple myeloma, mantle cell lymphoma). It works by slowing or stopping the growth of cancer cells."
J9042,"Injection, brentuximab vedotin, 1 mg",Adcetris,Brentuximab Vedotin,"Brentuximab is used to treat certain types of cancers (Hodgkin's lymphoma, systemic anaplastic large cell lymphoma, primary cutaneous anaplastic large cell lymphoma or CD30-expressing mycosis fungoides). It works by slowing or stopping the growth of cancer cells."
J9043,"Injection, cabazitaxel, 1 mg",Jevtana,Cabazitaxel,Cabazitaxel is used with another medication (prednisone) to treat prostate cancer. It works by slowing or stopping the growth of cancer cells.
J9045,"Injection, carboplatin, 50 mg",Carboplatin,Carboplatin,Carboplatin is used to treat various types of cancer. It is a chemotherapy drug that contains platinum. It is used alone or in combination with other medications to slow or stop cancer cell growth.
J9047,"Injection, carfilzomib, 1 mg",Kyprolis,Carfilzomib,"This medication is used to treat a certain type of cancer (multiple myeloma). Carfilzomib can be used alone or along with other medications (such as lenalidomide, dexamethasone). It works by helping to slow the growth and spread of cancer cells."
J9050,"Injection, carmustine, 100 mg",Bicnu,Carmustine,"This medication is used to treat certain types of cancer (including multiple myeloma, brain tumor, Hodgkin's disease, non-Hodgkin's lymphoma). Carmustine belongs to a class of drugs known as alkylating agents. It works by slowing or stopping the growth of cancer cells."
J9055,"Injection, cetuximab, 10 mg",Erbitux,Cetuximab,Cetuximab is used to treat a certain type of cancer of the colon (large intestine) or rectum that has spread to other parts of the body. This medication is also used to treat head and neck cancer. Cetuximab works by slowing or stopping the growth of cancer cells. It binds to a certain protein (epidermal growth factor receptor-EGFR) in some tumors. Cetuximab is a man-made protein (monoclonal antibody).
J9060,"Injection, cisplatin, powder or solution, 10 mg",Cisplatin,Cisplatin,Cisplatin is used to treat various types of cancer. It is a chemotherapy drug that contains platinum. It is used alone or in combination with other medications to slow or stop cancer cell growth.
J9065,"Injection, cladribine, per 1 mg",Cladribine,Cladribine,Cladribine is used to treat a certain type of cancer (hairy cell leukemia). It works by stopping the growth of cancer cells.
J9070,"Cyclophosphamide, 100 mg",Cyclophosphamide (J9070),Cyclophosphamide,Cyclophosphamide is used to treat various types of cancer. It is a chemotherapy drug that works by slowing or stopping cell growth. Cyclophosphamide also works by decreasing your immune system's response to various diseases. It is used to treat a certain type of kidney disease in children after other treatments have not worked.
J9098,"Injection, cytarabine liposome, 10 mg",Depocyt,Cytarabine Liposome/PF,Cytarabine liposome is a long-acting (sustained-release) chemotherapy drug used to treat cancer in the area around the spinal cord (lymphomatous meningitis). It works by slowing or stopping the growth of cancer cells.
J9100,"Injection, cytarabine, 100 mg",Cytarabine*,Cytarabine*,Cytarabine is used alone or with other medications to treat various types of cancer. It is a chemotherapy drug that works by slowing or stopping cancer cell growth.
J9120,"Injection, dactinomycin, 0.5 mg",COsmegen,Dactinomycin,Dactinomycin is used alone or with other anti-cancer drugs to treat cancer. It works by slowing or stopping the growth of cancer cells.
J9130,"Dacarbazine, 100 mg",Dacarbazine,Dacarbazine,"Dacarbazine is used to treat certain types of cancer, such as skin cancer that has spread (metastatic malignant melanoma) and Hodgkin's disease. It is a cancer chemotherapy drug that is used alone or with other medications to slow or stop cancer cell growth."
J9150,"Injection, daunorubicin, 10 mg",Daunorubicin HCL,Daunorubicin HCL,Daunorubicin is used to treat leukemia and other cancers. It belongs to a class of drugs known as anthracyclines and works by slowing or stopping the growth of cancer cells.
J9155,"Injection, degarelix, 1 mg",Firmagon,Degarelix Acetate,Degarelix is used to treat advanced prostate cancer in men. It is not a cure. Most types of prostate cancer need the male hormone testosterone to grow and spread. Degarelix works by reducing the amount of testosterone that the body makes. This helps slow or stop the growth of cancer cells.
J9171,"Injection, docetaxel, 1 mg",Docefrez*,Docetaxel*,"This medication is used to treat cancer (such as breast, lung, prostate, stomach, and head/neck cancer). Docetaxel is a member of a family of drugs called taxanes. This drug works by slowing cell growth."
J9178,"Injection, epirubicin hcl, 2 mg",Ellence*,Epirubicin HCL*,Epirubicin is used to treat breast cancer. It belongs to a class of drugs known as anthracyclines and works by slowing or stopping the growth of cancer cells.
J9179,"Injection, eribulin mesylate, 0.1 mg",Halaven,Eribulin Mesylate,"Eribulin is used to treat certain types of cancer (breast, liposarcoma). It works by slowing or stopping the growth of cancer cells."
J9181,"Injection, etoposide, 10 mg",Etopophos*,Etoposide Phosphate*,Etoposide is used alone or in combination with other medications to treat testicular cancer and certain forms of lung cancer (such as small cell lung cancer). Etoposide works by slowing the growth of cancer cells.
J9185,"Injection, fludarabine phosphate, 50 mg",Fludarabine Phosphate,Fludarabine Phosphate,This medication is used to treat leukemia and other cancers. It works by slowing or stopping the growth of cancer cells.
J9190,"Injection, fluorouracil, 500 mg",Adrucil*,Fluorouracil*,Fluorouracil is used to treat various types of cancer. It is a chemotherapy drug that is used alone or in combination with other medications to slow or stop cancer cell growth.
J9200,"Injection, floxuridine, 500 mg",Floxuridine,Floxuridine,Floxuridine is used to treat certain types of stomach/intestinal cancer that have spread to the liver. It is a chemotherapy drug that is used to slow or stop cancer cell growth.
J9201,"Injection, gemcitabine hydrochloride, 200 mg",Gemcitabine HCL*,Gemcitabine HCL*,"Gemcitabine is used to treat certain types of cancer (including breast, lung, ovarian, pancreatic). It is a chemotherapy drug that works by slowing or stopping the growth of cancer cells."
J9202,"Goserelin acetate implant, per 3.6 mg",Zoladex,Goserelin Acetate,Goserelin is used in men to treat prostate cancer. It is used in women to treat certain breast cancers or a certain uterus disorder (endometriosis). It is also used in women to thin the lining of the uterus (endometrium) in preparation for a procedure to treat abnormal uterine bleeding. Talk to your doctor about the risks and benefits of treatment. Goserelin is similar to a natural hormone made by the body (luteinizing hormone releasing hormone-LHRH). It works by decreasing testosterone hormones in men and estrogen hormones in women. This effect helps to slow or stop the growth of certain cancer cells and uterine tissue that need these hormones to grow and spread.
J9206,"Injection, irinotecan, 20 mg",Camptosar*,Irinotecan HCL*,This medication is used to treat cancer of the colon and rectum.
J9207,"Injection, ixabepilone, 1 mg",Ixempra,Ixabepilone,This medication is used alone or with other medications to treat advanced breast cancer. Ixabepilone is a chemotherapy drug that works to slow or stop cancer cell growth.
J9208,"Injection, ifosfamide, 1 gram",Ifex*,Ifosfamide*,Ifosfamide is used to treat various cancers (such as testicular cancer). It works by slowing or stopping the growth of cancer cells.
J9209,"Injection, mesna, 200 mg",Mesna*,Mesna*,"This medication is used to reduce the risk of bleeding in the bladder (hemorrhagic cystitis), which is a very serious side effect of treatment with a cancer chemotherapy drug called ifosfamide. Mesna helps to protect the lining of the bladder against damage from ifosfamide. The body breaks down ifosfamide to form a product that can harm the bladder, and mesna works by making this product less harmful. However, mesna does not change ifosfamide's anti-cancer effects."
J9211,"Injection, idarubicin hydrochloride, 5 mg",Idamycin PFs*,Idarubicin HCL*,Idarubicin is used to treat a certain type of cancer (leukemia). It belongs to a class of drugs known as anthracyclines and works by slowing or stopping the growth of cancer cells.
J9214,"Injection, interferon, alfa-2b, recombinant, 1 million units",Intron A,"Interferon Alfa-2b,recomb.","This medication is used to treat various cancers (e.g., leukemia, melanoma, AIDS-related Kaposi's sarcoma). It is also used to treat virus infections (e.g., chronic hepatitis B, chronic hepatitis C, condylomata acuminata). This medication is the same as a protein that your body naturally produces (interferon). In the body, it is thought to work by affecting cell function/growth and the body's natural defenses (immune system) in many ways. Adding more interferon may help your body fight off cancer or virus infections."
J9217,"Leuprolide acetate (for depot suspension), 7.5 mg",Eligard*,Leuprolide Acetate*,"Leuprolide is used to stop early puberty (precocious puberty) in children. It helps to delay sexual development (such as growth of the breasts/testicles) and the start of menstrual periods. It also helps slow down early bone growth to increase the likelihood of reaching normal adult height. Leuprolide works by decreasing the amount of sex hormones that a child's body makes (estrogen in girls, testosterone in boys)."
J9225,"Histrelin implant (vantas), 50 mg",Vantas,Histrelin Acetate,"Histrelin is used in men to treat advanced prostate cancer. It is not a cure. Most types of prostate cancer need the male hormone testosterone to grow and spread. Histrelin works by reducing the amount of testosterone that the body makes. This helps slow or stop the growth of cancer cells and helps relieve symptoms such as painful/difficult urination. Talk to your doctor about the risks and benefits of treatment. Histrelin is also used in children to treat early puberty (central precocious puberty). It helps to slow abnormally fast bone development so that height and growth rate are near normal and to stop or reverse signs of early puberty (such as breast/pubic hair growth in girls, pubic hair growth in boys). Histrelin works by reducing the amount of testosterone in boys and estrogen in girls. This medication is used until the doctor decides it is time for puberty to resume."
J9228,"Injection, ipilimumab, 1 mg",Yervoy,Ipilimumab,"Ipilimumab is used to treat melanoma (skin cancer) and kidney cancer. It works by changing the action of your own immune system, directing it to attack cancer cells. Unfortunately, other body parts may also be affected (see Warning section). Ipilimumab is a type of medication called a monoclonal antibody."
J9230,"Injection, mechlorethamine hydrochloride, (nitrogen mustard), 10 mg",Mustargen,Mechlorethamine HCL,"This medication is used to treat various types of cancer (such as Hodgkin's lymphoma, leukemia). Mechlorethamine belongs to a class of drugs known as alkylating agents. It works by slowing or stopping the growth of cancer cells."
J9245,"Injection, melphalan hydrochloride, 50 mg",Alkeran (J9245)*,Melphalan HCL*, 
J9250,"Methotrexate sodium, 5 mg",Methotrexate (J9250)*,Methotrexate Sodium*,Methotrexate is used to treat certain types of cancer or to control severe psoriasis or rheumatoid arthritis. It may also be used to control juvenile rheumatoid arthritis. Methotrexate belongs to a class of drugs known as antimetabolites. It works by slowing or stopping the growth of cancer cells and suppressing the immune system. Early treatment of rheumatoid arthritis with more aggressive therapy such as methotrexate helps to reduce further joint damage and to preserve joint function.
J9260,"Methotrexate sodium, 50 mg",Methotrexate (J9260)*,Methotrexate Sodium*,Methotrexate is used to treat certain types of cancer or to control severe psoriasis or rheumatoid arthritis. It may also be used to control juvenile rheumatoid arthritis. Methotrexate belongs to a class of drugs known as antimetabolites. It works by slowing or stopping the growth of cancer cells and suppressing the immune system. Early treatment of rheumatoid arthritis with more aggressive therapy such as methotrexate helps to reduce further joint damage and to preserve joint function.
J9263,"Injection, oxaliplatin, 0.5 mg",Eloxatin*,Oxaliplatin*,This medication is used to treat advanced cancer of the colon and rectum. Oxaliplatin is a chemotherapy drug that contains platinum. It is used in combination with other medications to slow or stop cancer cell growth.
J9264,"Injection, paclitaxel protein-bound particles, 1 mg",Abraxane,Paclitaxel Protein-Bound,"This medication is used to treat certain cancers (including breast, lung, and pancreatic cancer). Paclitaxel belongs to a class of drugs known as chemotherapy drugs. It works by slowing or stopping the growth of cancer cells."
J9266,"Injection, pegaspargase, per single dose vial",Oncaspar,Pegaspargase,"This medication is usually used with other anti-cancer (chemotherapy) drugs to treat acute lymphocytic leukemia (ALL), especially in patients who are allergic to L-asparaginase. It works by starving tumor cells of a certain amino acid (asparagine), causing the tumor cells to die."
J9267,"Injection, paclitaxel, 1 mg",Paclitaxel,Paclitaxel,Paclitaxel is used to treat various types of cancer. It is a cancer chemotherapy drug that works by slowing or stopping cancer cell growth.
J9268,"Injection, pentostatin, 10 mg",Nipent,Pentostatin,Pentostatin is used to treat a certain type of cancer (hairy cell leukemia). It works by slowing or stopping the growth of cancer cells.
J9271,"Injection, pembrolizumab, 1 mg",Keytruda,Pembrolizumab,"Pembrolizumab is used to treat cancer. It works by changing the action of your own immune system, directing it to attack cancer cells. Pembrolizumab belongs to a class of drugs known as monoclonal antibodies."
J9280,"Injection, mitomycin, 5 mg",Mitomycin,Mitomycin,Mitomycin is used with other drugs to treat various types of cancer (such as stomach/pancreas cancer). It works by slowing or stopping the growth of cancer cells.
J9293,"Injection, mitoxantrone hydrochloride, per 5 mg",Mitoxantrone HCL,Mitoxantrone HCL,Mitoxantrone is used to treat leukemia and other cancers. It is also used to treat multiple sclerosis. It belongs to a class of drugs known as anthracenediones and works by slowing or stopping the growth of certain cells (including cancer cells and cells that affect the body's natural defenses).
J9299,"Injection, nivolumab, 1 mg",Opdivo,Nivolumab,"Nivolumab is used to treat cancer. It works by changing the action of your own immune system, directing it to attack cancer cells. Nivolumab belongs to a class of drugs known as monoclonal antibodies."
J9301,"Injection, obinutuzumab, 10 mg",Gazyva,Obinutuzumab,"Obinutuzumab is used to treat certain types of blood cancer (such as chronic lymphocytic leukemia, follicular lymphoma). Obinutuzumab belongs to a class of drugs known as monoclonal antibodies. It works by stopping the growth of cancer cells."
J9302,"Injection, ofatumumab, 10 mg",Arzerra,Ofatumumab,Ofatumumab is used to treat a certain type of cancer (chronic lymphocytic leukemia - CLL). Ofatumumab belongs to a class of drugs known as monoclonal antibodies. This medication works by stopping the growth of cancer cells.
J9303,"Injection, panitumumab, 10 mg",Vectibix,Panitumumab,This medication is used to treat a certain type of cancer of the colon (large intestine) or rectum that has spread to other parts of the body. Panitumumab is a man-made protein (monoclonal antibody) that binds to a certain protein (epidermal growth factor receptor-EGFR). It works by slowing or stopping the growth of cancer cells.
J9305,"Injection, pemetrexed, 10 mg",Alimta,Pemetrexed DIsodium,"Pemetrexed is used to treat certain types of cancer (such as lung cancer, mesothelioma). It is a chemotherapy drug that works by slowing or stopping the growth of cancer cells."
J9306,"Injection, pertuzumab, 1 mg",Perjeta,Pertuzumab,Pertuzumab is used with other medications to treat certain types of breast cancer that has spread to other parts of the body in patients who have not received treatment or chemotherapy. It is also used with other medications to treat early stage breast cancer in patients who will be having surgery to remove the cancer. The types of cancers pertuzumab is used to treat are tumors that produce more than the normal amount of a certain substance called HER2 protein. This medication is called a monoclonal antibody. It works by attaching to the HER2 cancer cells and blocking them from dividing and growing. It may also destroy the cancer cells or signal the body (immune system) to destroy the cancer cells.
J9307,"Injection, pralatrexate, 1 mg",Folotyn,Pralatrexate,Pralatrexate is used to treat a certain type of cancer known as Peripheral T-Cell Lymphoma (PTCL). It is used when other drugs do not work or the cancer returns after treatment with other drugs. Pralatrexate works by killing cancer cells.
J9308,"Injection, ramucirumab, 5 mg",Cyramza,Ramucirumab,"Ramucirumab is used alone or with another medication (such as paclitaxel) to treat certain cancers (stomach and gastroesophageal cancer). It may also be used with other medication(s) to treat lung, rectal, or colon cancer. It works by slowing or stopping the growth of cancer cells."
J9310,"Injection, rituximab, 100 mg",Rituxan,Rituximab,"Rituximab is used to treat certain types of cancer (such as non-Hodgkin's lymphoma, chronic lymphocytic leukemia). It works by slowing or stopping the growth of cancer cells. Rituximab is used to treat rheumatoid arthritis and can decrease joint pain and swelling. It is also used to treat certain types of blood vessel disease (such as Wegener's granulomatosis, microscopic polyangiitis) and can decrease the swelling of the blood vessels."
J9315,"Injection, romidepsin, 1 mg",Istodax,Romidepsin,Romidepsin is used to treat certain types of cancer (cutaneous or peripheral T-cell lymphoma). Romidepsin works by stopping the growth of cancer cells.
J9320,"Injection, streptozocin, 1 gram",Zanosar,Streptozocin, 
J9328,"Injection, temozolomide, 1 mg",Temodar (J9328),Temozolomide,This medication is used to treat certain types of brain cancer. Temozolomide belongs to a class of drugs known as alkylating agents. It works by slowing or stopping the growth of cancer cells.
J9330,"Injection, temsirolimus, 1 mg",Torisel,Temsirolimus,This medication is used to treat kidney cancer. It works by slowing or stopping the growth of cancer cells.
J9351,"Injection, topotecan, 0.1 mg",Hycamtin (J9351)*,Topotecan HCL*,"This medication is used to treat ovarian, lung, or cervical cancer. It is a chemotherapy drug that works by slowing or stopping the growth of cancer cells."
J9354,"Injection, ado-trastuzumab emtansine, 1 mg",Kadcyla,Ado-Trastuzumab Emtansine,Ado-trastuzumab emtansine is used alone to treat certain types of breast cancer. This medication is used to treat tumors that produce more than the normal amount of a certain substance called HER2 protein. This medication is called a monoclonal antibody and microtubule inhibitor conjugate. Ado-trastuzumab emtansine works by attaching to the HER2 cancer cells and blocking them from dividing and growing. It may also destroy the cancer cells or signal the body (immune system) to destroy the cancer cells.
J9355,"Injection, trastuzumab, 10 mg",Herceptin,Trastuzumab,Trastuzumab is used alone or with other medications to treat certain types of breast cancer. It is also used along with other medications to treat certain types of stomach cancer. The types of cancers trastuzumab is used to treat are tumors that produce more than the normal amount of a certain substance called HER2 protein. This medication is called a monoclonal antibody. It works by attaching to the HER2 cancer cells and blocking them from dividing and growing. It may also destroy the cancer cells or signal the body (immune system) to destroy the cancer cells.
J9357,"Injection, valrubicin, intravesical, 200 mg",Valstar,Valrubicin,"Valrubicin is used to treat bladder cancer. The usual treatment for bladder cancer is surgery. However, if you and your doctor decide that the risk of surgery is greater than its benefit or that surgery may be delayed, this medication may be used as part of your treatment. This medication belongs to a class of drugs known as anthracyclines and works by slowing or stopping the growth of cancer cells. This medication may not cure your cancer. Delaying surgery could lead to a more serious illness (metastatic cancer). Discuss the risks and benefits of this medication with your doctor."
J9360,"Injection, vinblastine sulfate, 1 mg",Vinblastine Sulfate,Vinblastine Sulfate,Vinblastine is used to treat cancer. It works by slowing or stopping the growth of cancer cells.
J9370,"Vincristine sulfate, 1 mg",Vincasar PFs*,Vincristine Sulfate*,Vincristine is used to treat various types of cancer. It is a cancer chemotherapy drug that is usually used with other chemotherapy drugs to slow or stop cancer cell growth.
